run_name,is_baseline,bertscore_f1,citation_precision,citation_recall,content_f1,factual_consistency_normalized,factual_consistency_score,gating_avg_gating_precision,gating_avg_gating_recall,gating_lane_ids_recall,h2_context_respected,h2_error_rate,h2_hallucination_rate,h2_hint_adherence,h2_integration_score,h2_knowledge_score,h2_scope_violation_rate,h2_structure_violation_rate,llm_answer_relevance,llm_context_relevance,llm_faithfulness,llm_judge_used,mrr@10,mrr@3,mrr@5,ndcg@10,ndcg@3,ndcg@5,recall@10,recall@3,recall@5,rouge_l_recall,semantic_sim
OFAT_chunk_semantic_qwen3,True,0.733693,0.400000,0.761243,0.328161,0.555556,3.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611111,0.583333,0.611111,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.296802,0.830639
GSO_S3_deepseek-r1:8b,False,0.740020,0.388235,0.770728,0.296805,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544118,0.588235,0.573529,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.265857,0.834551
GSO_S3_deepseek-r1:7b,False,0.728158,0.400000,0.761243,0.214403,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.694444,0.583333,0.513889,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.164294,0.797999
GSO_S3_llama31,False,0.768401,0.400000,0.761243,0.333259,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.555556,0.583333,0.555556,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.279450,0.866046
GSO_S3_qwen2_5,False,0.752501,0.400000,0.761243,0.307509,0.541667,3.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611111,0.583333,0.625000,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.249720,0.846836
GSO_S3_cot,False,0.735649,0.388235,0.770728,0.324236,0.573529,3.294118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.588235,0.588235,0.588235,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.269075,0.838923
