run_name,is_baseline,bertscore_f1,citation_precision,citation_recall,content_f1,factual_consistency_normalized,factual_consistency_score,gating_avg_gating_precision,gating_avg_gating_recall,gating_lane_ids_recall,h2_context_respected,h2_error_rate,h2_hallucination_rate,h2_hint_adherence,h2_integration_score,h2_knowledge_score,h2_scope_violation_rate,h2_structure_violation_rate,llm_answer_relevance,llm_context_relevance,llm_faithfulness,llm_judge_used,mrr@10,mrr@3,mrr@5,ndcg@10,ndcg@3,ndcg@5,recall@10,recall@3,recall@5,rouge_l_recall,semantic_sim
H1_HYBRID_DEMO,True,0.747147,0.388889,0.733003,0.322641,0.513889,3.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.601852,0.555556,0.625000,0.000000,0.930556,0.916667,0.930556,0.783297,0.770600,0.788699,0.733003,0.658399,0.733003,0.265989,0.846500
H1_VECTOR_ONLY,False,0.744785,0.400000,0.761243,0.320246,0.513889,3.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.574074,0.583333,0.620370,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.270657,0.847716
H1_VECTOR_ONLY_RERANK,False,0.745509,0.433333,0.763095,0.310503,0.509259,3.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638889,0.527778,0.629630,0.000000,0.962963,0.962963,0.962963,0.769938,0.754870,0.781263,0.763095,0.656548,0.763095,0.268826,0.846730
H1_BM25_ONLY,False,0.743964,0.422222,0.760780,0.319828,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.615741,0.527778,0.601852,0.000000,0.893519,0.879630,0.893519,0.774359,0.718726,0.783175,0.760780,0.631944,0.760780,0.260843,0.835861
H1_BM25_ONLY_RERANK,False,0.745116,0.433333,0.763095,0.314289,0.537037,3.148148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.634259,0.527778,0.592593,0.000000,0.962963,0.962963,0.962963,0.769938,0.754870,0.781263,0.763095,0.656548,0.763095,0.264882,0.841380
