run_name,is_baseline,bertscore_f1,citation_precision,citation_recall,content_f1,factual_consistency_normalized,factual_consistency_score,gating_avg_gating_precision,gating_avg_gating_recall,gating_lane_ids_recall,h2_context_respected,h2_error_rate,h2_hallucination_rate,h2_hint_adherence,h2_integration_score,h2_knowledge_score,h2_scope_violation_rate,h2_structure_violation_rate,llm_answer_relevance,llm_context_relevance,llm_faithfulness,llm_judge_used,mrr@10,mrr@3,mrr@5,ndcg@10,ndcg@3,ndcg@5,recall@10,recall@3,recall@5,rouge_l_recall,semantic_sim
OFAT_chunk_semantic_qwen3,True,0.733693,0.400000,0.761243,0.328161,0.555556,3.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611111,0.583333,0.611111,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.296802,0.830639
GSO_S1_k10,False,0.730229,0.282353,0.907563,0.302515,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.558824,0.588235,0.617647,0.000000,0.915344,0.907407,0.907407,0.823950,0.732422,0.770035,0.912698,0.654233,0.761243,0.292774,0.832122
GSO_S1_k15,False,0.723799,0.234401,0.975000,0.267582,0.533333,3.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.566667,0.600000,0.000000,0.915344,0.907407,0.907407,0.823950,0.732422,0.770035,0.912698,0.654233,0.761243,0.270867,0.830793
